abblasen	vt	KTH_NHÂN	blow off xả	ra, thổi ra
Abblasventil	nt	CNSX	bleeder	van bảo vệ
Abblasventil	nt	CNSX	TH_LựC blow valve	van xả
Abblättern	nt	CNSX	scaling	sự bóc vỏ
Abblättern	nt	KT_DỆT	peeling	sự lột da, sự tước vỏ, sự tróc vỏ
abblättern	vt	CNSX	scale	tróc vỏ, bóc vỏ
abblättern	vi	XD	chip, peel, spall	bào, chẻ, bi bóc vỏ, got vỏ, đập vò
Abblend-	pref	KT_ĐIỆN, ÔTÔ	dimmed, dipped	đươc làm mờ, được nhúng
abblenden	vt	FOTO	stop down	chắn sáng
abblenden	vi	KT_ĐIỆN	dim	mờ đi, tối đi
Abblendlicht	nt	ÔTÔ	dimmed headlight (Anh), dipped beam, dipped headlight (Mỹ), passing light (Mỹ)	đèn chiếu gần, đèn mờ
Abblendschalter	m	KT_ĐIỆN	dimmer switch	công tắc điều chinh độ sáng
abböschen	vt	XD	batter, slant, slope	tạo mặt nghiêng, tạo mặt dốc
Abbrand	m	KTH_NHÂN	burnout	sự cháy hết, sự cháy hoàn toàn
Abbrechen	nt	CN_HOÁ	breaking	sự gãy, sự võ
abbrechen	vt	XD	demolish	phá huỷ (ngôi nhà)
abbrechen	vt	M_TÍNH	abort, cancel	huỷ, bỏ
abbrechen	vt	SỨ_TT	break off (Anh), cap	làm vỡ, làm gãy; làm nắp
abbrechen	vt	Đ_KHIỂN, DHV_TRỤ	abort	huỷ bỏ
abbrechen	vt	V_THÔNG	terminate	kết thúc (chương trình)
Abbrems-	pref	DHV_TRỤ	retardation, retrograde (thuôc)	đi châm, đi lùi
abbremsen	vt	HOÁ, DHV_TRỤ	retard	làm chậm, làm trễ (electron, tàu vũ trụ)
abbremsen	vi	V_LÝ	decelerate	giảm tốc, hãm lai
abbremsend	adj	V_LÝ	decelerated	bị giảm tốc
abbremsend	adj	DHV_TRỤ	retrograde	lùi
Abbremsorbit	m	DHV_TRỤ	retrograde orbit	quỹ đạo lùi
Abbremsrakete	f	DHV_TRỤ	retardation rocket	tên lửa hãm
Abbrennbürste	fx	D	breaker point	điểm gãy
abbrennen	vt	HOÁ	deflagrate	làm bùng cháy (không nổ)
Abbrennschweißen	nt	XD	flash welding	sự hàn chảy giáp môi
abbrôckeln	vti	XD	crumble away	làm vụn ra, làm rời ra, vụn ra, rời ra
Abbruch	m	M_TÍNH	abort, hang-up, termination, cancel	sư huỷ, sự treo, sự kết thúc
Abbruch	m	V_THỎNG	disconnection	sự ngắt, sự không nối kết
Abbruchabfall	m	P_L1ỆU	demolition waste, rubble	chất thải phá nổ, đất đá vun
Abbruchabfall	m	XD	demolition waste	đất đá thải do phá huỷ
Abbruchfehler	m	M_TÍNH	truncation error	lỗi cắt cụt
Abbruchhöhe	f	VTH K	critical altitude	độ cao tới hạn
Abbruchkolonne	fx	D	breakdown gang	đội sửa chữa hỏng hóc
Abbruchmaterial	nt	P_LIỆU	demolition waste, rubble	chất thải phá nổ, đất đá vụn
Abbruchmaterial	nt	XD	demolition waste	đất đá thải do
Abbruchzustand	m	Đ_KHIỂN	truncation condition	điều kiện cắt cụt
abbrühen	vt	NH_ĐỘN(Ỉ	scald	nấu, đun sôi, hấp
ABC	v_tắt (automatische Helligkeitsregelung)	TV ABC		(automatic brightness control) (sự) điều chính độ chói tự động
ABC-Hubschrauber	m	VTHK ABC	helicopter, advanced blade concept helicopter	trực thăng
ABC-Hubschrauber	m	ABC		trực thăng lá cánh quạt hướng về phía trước
Abdachen	nt	CNSX	pointing	sư gia công
abdachen	vt	CNSX	point	gia công côn
abdämmen	vt	KTC_NƯỚC	block off	chặn
Abdichtungsmittel	nt	XD	sealant	chất bít kín, chất trám kín
Abdrehen	nt	CNSX	dressing, truing	sự chinh, sự nắn sửa (đá mài)
abdrehen	vt	CNSX	dress	nắn sủa, chinh đúng (vật mài)
abdrehen	vt	CNSX	true	chỉnh đúng (đá mài)
abdrehen	vt	KTC_NƯỚC	turn off	khoá, tắt, đóng (vòi
Abdrehvorrichtung	f	CT_MÁY	truing attachment, turning attachment	đồ gá sửa, đồ gá hiệu chuẩn
Abdriftwinkel	m	VTHK	drift angle	góc dạt
Abdriftwinkel	m	VT_THUỶ	leeway angle	góc dạt
Abdruck	m	IN	impression	bản ỉn
Abdruck	m	CNSX	mold (Mỹ), mould (Anh)	khuôn, khuôn đúc
abdruckbares Zeichen	nt	IN	printing character	kỷ tư in ra được
Abdrũcksignal	nt	Đ_SẮT	backing signal	tín hiệu lùi
Aberrationskreis	m	Q_HỌO	circle of aberration	vòng quang sai
Abfackeln	nt	D_KHÍ	flaring	đuốc dầu khí, sự cháy khí đốt (do đốt bỏ)
abfackeln	vt	NH_ĐỘNG	burn off	đốt cháy, làm bùng cháy
Abfall	m	P_LIỆU	junk	chất thải, phế liệu
Abfall	m	XD	tailings	phần thải, chất thải
Abfall	m	Đ_TỬ	fall- off	sự sụt (điện áp)
Abfall	m	KT_Đ1ỆN	drop	sự sụt (điện áp)
Abfall	m	KT_Đ1ỆN	TH_LựC fall	sư hạ (mức nước), cơ
Abfall	m	KT_Đ1ỆN	junk, scrap	phế liệu, phê thải
Abfall	m	GIÂY	waste	phế liệu, phế thải
Abfall	m	CH_LƯỢNG	scrap	phê liêu, phế thải
Abfall	m	B_BÌ	garbage (Mỹ), rubbish (Anh)	rác rưởi, đồ bỏ đi
Abfall	m	KTC_NƯỚC	refuse	
Abfallagerung	f	P_L1ỆU	waste storage	nơi chứa chất thải, kho phế liệu
Abfallaufbereitung	f	P_LIỆU, ÔNMT	waste	
Abfallausgrabung	f	KTH_NHÂN	disintern- ment of waste	sự khai quật chất thải
Abfallbehälter	m	P_LIỆU	garbage can (Mỹ), rubbish bin (Anh), waste container	thùng đựng rác, thùng dưng chất thải
Abfallbehälter	m	KTH_NHÂN	waste canister	thùng chất thải
Abfallbehandlung	f	P_LIỆU	waste processing, waste treatment	sự xử lý chất thải
Abfallbrennstoff	m	P_LIỆU	waste fuel	nhiên liệu phế thải
Abfalldeponie	f	KTC_NƯỚC	refuse dump	bãi chất thải, bãi phê thải
Abfallen	nt	KT_ĐIỆN	drop-out	sự sụt áp
Abfallen	nt	TV	decay	sự rã hình
abfallen	vi	XD	sink	chìm, lún
abfallen	vi	XD	slope	dốc nghiêng (địa hình)
abfallen	vi	M_TÍNH	decay	phân rã
abfallen	vi	VT_THUỶ	bear away	cuốn đi
abfallen	vi	VT_THUỶ	fall off	không
abfallende Flanke	f	Đ_TỬ	trailing edge	sườn sau (của các xung)
abfallende Flanke	f	Đ_TỬ	mg and dosing machine	máy đóng gói và đinh liêu lương
Abfüll- und Siegelmaschine	f	B_BÌ	filling and sealing machine	máy nạp dầy và bít kín
Abfüll- und Versiegelungseinheit für Beutel	f	B_BÌ	sachet form fill seal unit	thiết bị nạp đầy và bít kín dạng túi
Abfüllung in Kartons	f	B_BÌ	bag-in-a-box packaging	sự dóng bao đinh lương vào hộp cactông
Abfüllvorrichtung	f	CNT_PHẨM	dispenser cơ	cấu đong,' máy tư đông rót, ông đinh lượng
Abgabeseite	f	CT_MÁY	discharge side	phía dỡ tải
Abgang	m	ÔTÔ, V_THÔNG, V_TẢ1	originating, outgoing, output	sư khởi hành, sự xuất phát, sư ra đi
Abgangsverkehr	m	V_THÔNG	originating traffic, outgoing traffic	lưu lượng (gửi) đi
Abgangsverkehr	m	VTAI	originating traffic	lưu lương vân tải khởi đầu
Abgangswelle	f	ỒTÔ	output shaft	true ra
Abgas	nt	CNSX	waste gas	khí thải
Abgasanlage	f	ÔTÔ	exhaust system	hê thông xả khí
abgasarmes Gemisch	nt	ÔTÔ	lean mixture	hỗn hợp nghèo
AbgasdủsenverschluBstủcke	nt pl	VTHK	exhaust nozzle breeches	các phần đuôi miệng xả
Abgasentschwefelung	f	P_LIỆU	waste gas desulfurization (Mỹ), waste gas desulphurization (Anh)	sự khử lưu huỳnh ở khí thải
Abgasgeháuse	nt	VTHK	exhaust case	vỏ khí xả
Abgaskatalysator	m	ÔTÔ	catalytic converter (Anh), catalytic muffler (Mỹ), catalytic silencer (Anh)	bộ chuyên đổi xúc tác, bộ tiêu ảm xúc tác, bộ giảm ảm xúc tác
Abgaskondensator	m	KTH_NHÂN	off-gas condenser	bô ngưng tụ khí thải
Abgaskonus	m	VTHK	exhaust cone	phần vỏ côn của ông xả
Abgasleitung	f	CNSX	exhaust duct	ông xả đông cơ
Abgasleitung	f	ÔTÔ, VTHK	exhaust pipe	ống xả
Cơ exhaust conduit, exhaust pipe	ống dẫn xả, ông xả	NH_ĐỘNG, VT_THUỶ	exhaust pipe	ông khi xả, ông khí thải
Abgasmeílgerảt	nt	T_BỊ	waste gas meter	máy đo khí thải
Abgasmefistrecke	f	KT_LẠNH	flue gas test section	phần thử khí ông khói
Abgasreinigung	f	P_L1ỆU	waste gas cleaning	sự làm sạch khí thải
Abgasreinigung	f	NH_ĐỘNG	exhaust gas cleaning	sự làm sạch khí xả
Abgasreinigungsanlage	f	KTA_TOÀN	flue gas cleaning installation	thiết bị làm sạch khí thải
